56a0f7a4395211eca6f6502f9b172694,2,1,4
56a0f7a4395211eca6f6502f9b172694,363,2,4
56a0f7a4395211eca6f6502f9b172694,364,3,4
56a19374395211eca4f2502f9b172694,365,1,4
56a19374395211eca4f2502f9b172694,969,2,4
56a19374395211eca4f2502f9b172694,4178,3,4
56a20858395211ec91dc502f9b172694,3,1,4
56a20858395211ec91dc502f9b172694,4,2,4
56a20858395211ec91dc502f9b172694,35,3,4
56a27d34395211eca05a502f9b172694,31,1,4
56a27d34395211eca05a502f9b172694,82,2,4
56a27d34395211eca05a502f9b172694,83,3,4
56a2f214395211eca9e4502f9b172694,71,1,4
56a2f214395211eca9e4502f9b172694,72,2,4
56a2f214395211eca9e4502f9b172694,73,3,4
56a366f0395211ec91fe502f9b172694,77,1,4
56a366f0395211ec91fe502f9b172694,78,2,4
56a366f0395211ec91fe502f9b172694,79,3,4
56a366f0395211ec91fe502f9b172694,3076,4,4
56a3dbdc395211ec97fb502f9b172694,81,1,4
56a3dbdc395211ec97fb502f9b172694,109,2,4
56a3dbdc395211ec97fb502f9b172694,113,3,4
56a450c0395211ecbfe1502f9b172694,111,1,4
56a450c0395211ecbfe1502f9b172694,193,2,4
56a450c0395211ecbfe1502f9b172694,287,3,4
56a4c59e395211ec9ed0502f9b172694,192,1,4
56a4c59e395211ec9ed0502f9b172694,363,2,4
56a4c59e395211ec9ed0502f9b172694,1169,3,4
56a4c59e395211ec9ed0502f9b172694,1170,4,4
56a53a80395211eca450502f9b172694,263,1,4
56a53a80395211eca450502f9b172694,264,2,4
56a53a80395211eca450502f9b172694,267,3,4
56a5af5c395211ecafdc502f9b172694,283,1,4
56a5af5c395211ecafdc502f9b172694,387,2,4
56a5af5c395211ecafdc502f9b172694,665,3,4
56a6243a395211ec8efd502f9b172694,359,1,4
56a6243a395211ec8efd502f9b172694,360,2,4
56a6243a395211ec8efd502f9b172694,4174,3,4
56a69912395211ec8200502f9b172694,362,1,4
56a69912395211ec8200502f9b172694,366,2,4
56a69912395211ec8200502f9b172694,4174,3,4
56a70dfa395211ecb45e502f9b172694,466,1,4
56a70dfa395211ecb45e502f9b172694,1941,2,4
